instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
340401018,3,340401,3404,淮南市大通营业所,淮南市大通营业所,大通营业所,0
340401019,3,340401,3404,淮南市龙眼营业所,淮南市龙眼营业所,龙眼营业所,0
340401020,3,340401,3404,淮南市南门口营业所,淮南市南门口营业所,南门口营业所,0
340401021,3,340401,3404,淮南市泉山营业所,淮南市泉山营业所,泉山营业所,0
340401022,3,340401,3404,淮南市南苑营业所,淮南市南苑营业所,南苑营业所,0
340401026,3,340401,3404,淮南市会战路营业所,淮南市会战路营业所,会战路营业所,0
340401028,3,340401,3404,淮南市淮望村营业所,淮南市淮望村营业所,淮望村营业所,0
340401029,3,340401,3404,淮南市十涧湖营业所,淮南市十涧湖营业所,十涧湖营业所,0
340401031,3,340401,3404,淮南市矿机路营业所,淮南市矿机路营业所,矿机路营业所,0
340401032,3,340401,3404,淮南市芳草园营业所,淮南市芳草园营业所,芳草园营业所,0
340401033,3,340401,3404,淮南市李郢孜营业所,淮南市李郢孜营业所,李郢孜营业所,9
340401035,3,340401,3404,淮南市毕家岗营业所,淮南市毕家岗营业所,毕家岗营业所,0
340401036,3,340401,3404,淮南市山王营业所,淮南市山王营业所,山王营业所,0
340401038,3,340401,3404,淮南市丁山营业所,淮南市丁山营业所,丁山营业所,0
340401040,3,340401,3404,淮南市白云营业所,淮南市白云营业所,白云营业所,0
340401041,3,340401,3404,淮南市高皇营业所,淮南市高皇营业所,高皇营业所,0
340401042,3,340401,3404,淮南市潘三营业所,淮南市潘三营业所,潘三营业所,0
340401043,3,340401,3404,淮南市新街营业所,淮南市新街营业所,新街营业所,0
340401047,3,340401,3404,淮南市曹庵营业所,淮南市曹庵营业所,曹庵营业所,0
340401048,3,340401,3404,淮南市朱集营业所,淮南市朱集营业所,朱集营业所,0
340401049,3,340401,3404,淮南市杨公镇营业所,淮南市杨公镇营业所,杨公镇营业所,0
340401051,3,340401,3404,淮南市三和营业所,淮南市三和营业所,三和营业所,0
340401052,3,340401,3404,淮南市洞山新村营业所,淮南市洞山新村营业所,洞山新村营业所,0
340401053,3,340401,3404,淮南市新社营业所,淮南市新社营业所,新社营业所,0
340421,2,340421,3404,凤台县,凤台县,凤台县,0
340421002,3,340421,3404,凤台县大山营业所,凤台县大山营业所,大山营业所,0
340421003,3,340421,3404,凤台县顾桥营业所,凤台县顾桥营业所,顾桥营业所,0
340421004,3,340421,3404,凤台县桂集营业所,凤台县桂集营业所,桂集营业所,0
340421005,3,340421,3404,凤台县马店营业所,凤台县马店营业所,马店营业所,0
340421006,3,340421,3404,淮南市毛集营业所,淮南市毛集营业所,毛集营业所,0
340421007,3,340421,3404,凤台县大兴营业所,凤台县大兴营业所,大兴营业所,0
340421008,3,340421,3404,淮南市夏集营业所,淮南市夏集营业所,夏集营业所,0
340421009,3,340421,3404,凤台县丁集营业所,凤台县丁集营业所,丁集营业所,0
340421010,3,340421,3404,凤台县钱庙营业所,凤台县钱庙营业所,钱庙营业所,0
340421012,3,340421,3404,凤台县尚塘营业所,凤台县尚塘营业所,尚塘营业所,0
340421013,3,340421,3404,凤台县淮滨路营业所,凤台县淮滨路营业所,淮滨路营业所,0
340421014,3,340421,3404,凤台县中山路营业所,凤台县中山路营业所,中山路营业所,0
340421015,3,340421,3404,凤台县古店营业所,凤台县古店营业所,古店营业所,0
340421016,3,340421,3404,凤台县政务区营业所,凤台县政务区营业所,政务区营业所,0
340421017,3,340421,3404,凤台县新集镇营业所,凤台县新集镇营业所,新集镇营业所,0
340421019,3,340421,3404,凤台县杨村营业所,凤台县杨村营业所,杨村营业所,0
340422,2,340422,3404,寿县,寿县,寿县,0
340422101,3,340422,3415,寿县南郊营业所,寿县南郊营业所,南郊营业所,0
340422102,3,340422,3415,寿县南关营业所,寿县南关营业所,南关营业所,0
